,content
729,"Usually the High fare of AI or you may call opportunistic fares of Pvt Airlines seizes ones chances of travelling aboard AI..however, happend to travel Twice on AI flights during last two months out of total 10 flights.The First one was on CCU-GAU sector which wa really good,But flight AI 21 from Kolkata to Delhi was BEST flight of all...
"
730,"Its been more than 15 since since I flew Air India. Surprise surprise ...tremendous improvement in service , the aircraft had more leg space... food was good ...
baggage handling was efficient too ..
recommend this ... good going Air India keep it up ..
"
731,"The flight is hardly on time. Once they made us wait the entire day at the airport saying the flight is delayed and at the end of the day cancelled the flight. Very poor service and no proper communication at all. Apart from this, the in house flight service is good enough. They food served is fresh and hot.
"
732,"Air India gave a good deal in terms of service.
Was on time.
But the inflight snack was very Indian - bajji - with plenty of oil
If this can be made a little healthier would be nice
"
733,"I feel always best flying with Air India when I compare the price with other airline. The service food entertainment you got in the price of Budgeted airline. I have traveled with almost 10-12 airline almost several parts of Asia Africa and Europe, I feel Air India is best when you compare value for money.
"
734,"The ""Maharaja"" brand is no more. A320 aircraft from RUH-MUM is not what we are used to. A330 or 777's has more to offer. The A320 seats are one of the worst I had experienced, As per my son it's like sitting on a stone.
I booked my seats well in advance, one of the seat was given far away...
"
735,"The option of self check in online is one of the main reasons I chose to travel Air India. The air host(s) were co-operative and were smiling. Immediate response and even cleaned up quickly.They even obliged when asked for a second helping! Thanks for making my flight experience a good one.
"
736,"For domestic travel Air India is a good option because it offers baggage allowance of 25 kgs. Flight was large and comfortable. Service good and operation on time
"
737,"The service, food, cleanliness, linen, soft/ hard drinks, restrooms, toiletries and to count among return to passengers in lieu of what he has paid, everything is disgusting. A person, specially Indian, planning to travel through his homeland airlines is just rendered disappointed because of all above services of ordinary restaurant/ hotel. The service rendered in any un-star lodge/ hotel is...
"
738,"It was a very comfortable flight and the services were really good. It was a great start to our May vacation tour of shimla manila
"
739,"It was just a 1 hr journey and the journey being domestic, its ATR flight and small with 2x2 seater.
It was a test journey for me as first timer to check whether I am compatible for air travel.
It was nice experience.
"
740,"It was wonderful experience to travel with Air India. No problem anyhow and the staff inside the flight is truly perfect.
"
741,"One of the many short flights that takes me to Delhi from vadodara or vice versa. Being a frequent flier prefer to fly air India. But has to wait at airport for boarding for almost half an hour delayed that is a regular feature. Though official reason given was heavy raining. Once inside nice feeling good legroom and excellent refreshment....
"
